"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GIMAP2",1.71669221387531,9.36733313828516,9.55090058166975,4.39381416769435e-08,0.0010490670706787,8.50181888918136
"FAM78A",1.97654772385289,9.69351279319964,8.65297437774731,1.70916636524114e-07,0.00204040280682487,7.33269190659338
"SP110",1.39806655308511,8.803677002592,8.10425339586833,4.10950188939761e-07,0.00253577290876806,6.56130350920514
"IL16",1.91220116725123,10.7835403972321,8.08393674826953,4.24823740788751e-07,0.00253577290876806,6.53187786732991
"SERPINH1",-2.76838899289622,11.5235316467388,-7.86895544369127,6.0560558517486e-07,0.00289188779032699,6.21665165231325
"EVI2B",1.78290149694059,11.0597755579027,7.55071220420937,1.0348966901268e-06,0.00384735727414348,5.7369143524067
"RFPL1S",1.8776311799186,4.54111954661382,7.50028642786866,1.12797373592747e-06,0.00384735727414348,5.65944825447572
"ZNF165",-2.57046146929969,6.36343158389294,-7.00869855140082,2.65855845784502e-06,0.00603793853168947,4.88317152118795
"RP5-1091N2.9",1.76022853144994,5.12828541996647,6.95727238820875,2.91350730976427e-06,0.00603793853168947,4.79973974482686
"S100A3",-3.27236787963252,4.81581331168488,-6.94580809220346,2.97374131513444e-06,0.00603793853168947,4.78108287003038
"RND3",-2.42791435582273,10.8205161384106,-6.91790010869994,3.12586199515016e-06,0.00603793853168947,4.73557781425416
"RP11-359E10.1",-3.45023984964115,4.83468098236777,-6.88847060638704,3.29509198808633e-06,0.00603793853168947,4.68745685074111
"RCSD1",1.50280860366814,10.7440795585184,6.88658182813469,3.30627417160853e-06,0.00603793853168947,4.68436372539088
"AC139100.4",-2.68845622461195,4.71740063079849,-6.84849201816306,3.54042299562961e-06,0.00603793853168947,4.62186472405464
"RP11-54O7.17",-4.53114598472462,5.27264353245491,-6.77806962593392,4.01996749871691e-06,0.0062593574644286,4.50570168816594
"RP4-742C19.12",2.30647612815455,4.75795539882016,6.7284349583452,4.39827133941929e-06,0.0062593574644286,4.42335140814385
"ARHGAP30",2.0350105189501,11.6855209923727,6.66947303595991,4.89634029864922e-06,0.0062593574644286,4.32501365467529
"MYO1F",1.80740765821898,11.9160117900264,6.66578185797121,4.92941178545978e-06,0.0062593574644286,4.31883894313384
"P2RY13",2.48593751239642,9.33225358908476,6.65983057544393,4.98322353094778e-06,0.0062593574644286,4.30887887312906
"FYB",1.94664589707727,11.9832220430236,6.58607248895916,5.70327721922397e-06,0.0062593574644286,4.18496737076696
"ZNF619",1.12533415053051,6.88822544198027,6.58057137810099,5.76114847858152e-06,0.0062593574644286,4.17569082774028
"ZNF683",3.69674012172415,7.25599620251329,6.53898658608518,6.21887572632851e-06,0.0062593574644286,4.10540995698636
